,tweet_id,retweet_count,favorite_count,cleaned_tweet,length_before,length_after,ratio_of_length,number_of_upper_chars,has_question_marks,number_of_question_marks,has_exclamations,number_of_exclamation_marks,label
0,1241025578527903750,187425,954568,"औसत अमेरिकी के लिए यह बताने का सबसे अच्छा तरीका है कि क्या आपके पास कोविद -19 है, किसी अमीर व्यक्ति के चेहरे पर खांसना और उनके परीक्षा परिणामों का इंतजार करना",134,134,1.0,2,0,0,0,0,0
1,1240467080954228737,333831,1505405,यह बकवास है,24,24,1.0,0,0,0,0,0,0
2,1240716889162018816,160323,660762,क्या आप कृपया सरकार के निर्देशों का पालन कर सकते हैं ताकि हम इस कोविद -19 को बाहर निकाल सकें और काम किया जा सके। मुझे एक किंडरगार्टनर की तरह महसूस होता है जो अधिक अवकाश का समय गंवाता रहता है क्योंकि एक या दो बच्चे निर्देशों का पालन नहीं कर सकते हैं।,218,218,1.0,7,1,1,1,1,0
3,1241062514886090754,154086,368883,"कोई अपराध नहीं है, लेकिन अप्रैल से पहले गायब होने वाले कोरोना वायरस वास्तव में बेकार है",72,72,1.0,2,0,0,0,0,0
4,1241447017945223169,126506,445713,"यह किसी ऐसे व्यक्ति का चेहरा है, जिसने केवल व्यक्तिगत सुरक्षा उपकरण में 9 घंटे बिताए हैं, जो गंभीर रूप से बीमार covid19 रोगियों को लंदन के चारों ओर घूम रहा है। मैं टूटा हुआ महसूस करता हूं - और हम केवल शुरुआत में हैं। मैं लोगों से भीख माँग रहा हूँ, कृपया सामाजिक भेद और आत्म अलगाव covid19 URL करें",292,270,0.9246575342465754,7,0,0,0,0,1
5,1241637320325029889,128634,715158,"कल मैंने अपने टेनेंट के दरवाजे पर दस्तक दी और उससे कहा कि वह 5 महीने के लिए मुफ्त में संपत्ति के किराए पर रह सकता है। वह 4 बच्चों के साथ स्वयं कार्यरत है। नैतिक रूप से सही क्या है, यह बताने के लिए मुझे बोरिस की आवश्यकता नहीं है। मकान मालिक, यदि आप कर सकते हैं, तो अधिक करें, कुछ करें। covid19 बेनिस",256,254,0.9921875,14,0,0,0,0,1
6,1241519420628963330,120821,487573,"कोविद -19 समाप्त होने के बाद, मैंने कभी भी किसी को ""कम अंत"" श्रमिकों को फिर से कभी नहीं सुना। किराने की दुकान पर उन लोगों, डॉलर के सामान्य कार्यकर्ता, उन फास्ट फूड श्रमिकों, वॉलमार्ट के कर्मचारियों, उन लोगों को जिन्हें आपने भी नहीं सोचा था कि वे जीवित रहने के लिए मजदूरी करने के लायक हैं?",266,266,1.0,16,1,1,0,0,0
7,1242137430322446344,119536,331428,"यह डॉ। usama रियाज़ उन्होंने पिछले सप्ताह स्क्रीनिंग और पाकिस्तान में कोरोना वायरस के रोगियों के इलाज में बिताया। वह जानता था कि वहाँ कोई ppe नहीं था। वह वैसे भी बनी रही। आज उन्होंने कोरोनोवायरस के साथ अपनी खुद की लड़ाई खो दी, लेकिन उन्होंने बहुत से लोगों को जीवन और आशा दी। उसका नाम URL पता है",289,261,0.903114186851211,29,0,0,0,0,1
8,1240717039377022977,141115,516085,fun fact: its tradition for europeans to spread a potentially fatal disease to every other country not fully inhabited by white people &amp; not take accountability for the subsequent devastation &amp; lives lost,212,212,1.0,0,0,0,0,0,1
9,1240334979701395458,181436,763800,जब यह कोरोना शिट पास होता है तो हमें एक दूसरे से वादा करना पड़ता है कि हम अपने बच्चों को बताने जा रहे हैं कि हम 2020 में एक ज़ोंबी सर्वनाश से बच गए,137,137,1.0,2,0,0,0,0,0
10,1241161304771039233,109785,554867,"सांस की तकलीफ एक कोरोना लक्षण है, लेकिन आप जानते हैं कि मुझे सांस की तकलीफ भी है? चिंता। और तुम जानते हो कि मुझे क्या चिंता दी गई है? सोच मैं कोरोना है",180,180,1.0,5,1,2,0,0,0
11,1240676575168921600,100742,322476,"so, the last week i have been battling covid-19 &amp; pneumonia. never in my life have i been this ill. “young people aren’t at risk, they’ll only have mild symptoms” wrong. i want to open up about the difficulties i’ve gone through these past days, what it was like in the icu...",282,280,0.9929078014184397,17,0,0,0,0,1
12,1242125087886761987,107073,401952,मेरी माँ ने व्हाट्सएप विश्वविद्यालय से कोरोना वायरस पर पीएचडी की है,57,57,1.0,8,0,0,0,0,1
13,1240768501452697600,116644,415942,उसने अमीर दोस्तों को बताया। फिर स्टॉक में एक शांत $ 1.4m को भुनाया। फिर कोविद -19 राहत बिल के खिलाफ मतदान किया। उसे जाने की जरूरत है,123,123,1.0,11,0,0,0,0,1
14,1241447267502116864,91414,383681,"भविष्य का पोता: ""अरे दादाजी एक कोरोना चाहते हैं?"" मुझे: URL",74,53,0.7162162162162162,3,1,1,0,0,0
15,1241337295606657033,89425,196789,कोरिया ने 10 मिनट के कोविद -19 डायग्नोस्टिक किट को विकसित किया और अब उत्पादन में तेजी आ रही है। वे प्रति सप्ताह 300.000 परीक्षण-किट निर्यात करने की योजना बनाते हैं - URL,170,150,0.8823529411764706,8,0,0,0,0,1
16,1241429041011478529,88884,284776,"ट्व आत्महत्या, कोविद -19 हे, इसलिए, उम, अभी कमरे में एक बड़ा हाथी है। कोविद अभी एकमात्र महामारी नहीं है - और यह एक बुरे, बुरे समय पर आया है। ऐसा नहीं है कि कोई अच्छा समय है। एक मानसिक स्वास्थ्य महामारी हो रही है, और हम देखने वाले हैं-",276,274,0.9927536231884058,13,0,0,0,0,1
17,1242414259407130624,97800,358439,जानी मानी हस्तियां वायरस को दूर भगाने की कोशिश करती रहती हैं जैसे कि यह एक डिस्नी फिल्म या कुछ और है,87,87,1.0,2,0,0,0,0,0
18,1241973404992802818,85596,296774,हो सकता है कि अगर मैं कोविद -19 के लिए भावनाओं को विकसित करूं तो यह निकल जाएगा,54,54,1.0,0,0,0,0,0,0
19,1241057919128526856,79256,391801,"धागा: मैं ज्यादातर फिल्मों के बारे में यहां बात करता हूं, लेकिन यहां जाता है। वर्तमान में हम केवल कम आपूर्ति में सर्जिकल मास्क और अन्य चिकित्सा कपड़ों को बनाने के लिए अपने कारखाने की धुरी बना रहे हैं। हम एक दिन में 2 मिलियन मास्क बना सकते हैं, और इस दौरान किसी भी तरह से मदद करना चाहते हैं। covid19 URL",300,279,0.93,19,0,0,0,0,1
20,1240633773965918210,187182,850193,मेरे घर में मंगलवार को 6 vicodin पॉप होगा और शनिवार सुबह तक इसका इलाज होगा।,85,85,1.0,5,0,0,0,0,0
