tweet_id,retweet_count,favourite_count,length_before,length_after,length_ratio,number_of_upper_chars,has_question_marks,number_of_question_marks,has_exclamation_marks,number_of_exclamation_marks,chars_in_desc,chars_in_real_name,chars_in_user_handle,num_matches,total_urls_in_desc,official_url_exists,followers_count,friends_count,listed_count,favourites_count,geo_enabled,acc_life,verified,num_tweets,protected,posting_frequency,activity,avg_likes_per_tweet,follower_friends_ratio,label
1277229524762099713,0,0,288,239,0.8298611111111112,5,0,0,0,0,0,46,10,2,0,0,122,202,0,730,1,3586,0,1099,0,0.3064696040156163,1,0.6642402183803457,0.6039603960396039,1
1277229518718070785,9,0,140,119,0.85,4,0,0,0,0,137,33,15,3,0,0,2538,1853,27,75731,1,2373,0,103041,0,43.422250316055624,0,0.7349598703428732,1.3696708041014571,1
1277229488665841665,4,44,262,219,0.8358778625954199,16,0,0,0,0,79,11,10,1,0,0,46348,127,22,8441,1,2630,1,37249,0,14.163117870722434,0,0.22661011033853257,364.9448818897638,1
1277229470089228289,0,0,206,151,0.7330097087378641,33,0,0,0,0,161,14,12,4,3,1,24,97,0,31,0,283,0,1764,0,6.23321554770318,12,0.017573696145124718,0.24742268041237114,1
1277229443208151041,1,3,209,184,0.8803827751196173,6,0,0,0,0,63,25,13,3,1,1,3259,4619,5,4558,1,1515,0,4291,0,2.8323432343234325,1,1.0622232579818225,0.705563974886339,0
1277229395153874944,1,9,163,130,0.7975460122699386,23,0,0,0,0,149,15,14,3,0,1,121552,78,95,2,0,697,0,79199,0,113.62840746054519,0,2.5252844101566938e-05,1558.3589743589744,1
1277229289092546560,0,0,123,99,0.8048780487804879,5,0,0,0,0,0,20,14,5,0,1,1441,1652,0,35111,0,1287,0,2169,0,1.6853146853146854,21,16.18764407561088,0.8722760290556901,1
1277229277058961408,51,0,140,125,0.8928571428571429,8,0,0,0,0,23,17,15,2,0,0,44,78,0,2824,0,370,0,7917,0,21.397297297297296,0,0.35670077049387394,0.5641025641025641,1
1277229188584542211,70,0,138,103,0.7463768115942029,7,0,0,0,0,31,11,15,1,0,0,171,629,0,34778,0,79,0,7326,0,92.73417721518987,0,4.747201747201747,0.2718600953895072,1
1277229174680252417,14,0,140,123,0.8785714285714286,5,0,0,0,0,117,12,12,1,0,1,280,239,0,601,1,2749,0,324,0,0.11786104037831939,0,1.8549382716049383,1.1715481171548117,1
