,hindi_tweets
0,"RT @PeepingMoon: तीन महीने बाद #KasautiiZindagiiKay2 की शूटिंग हुई री-स्टार्ट,  #Corona के साये के बीच #ParthSamthaan ने की सेट पर वापसी

@…"
1,"dilli se kabhie #COVID19 #COVID  nahi jane wala kyonki yahan bjp aur aap ki politics kabhie nahi khatm hone wali hai....!

#GalwanValley de diya ANPADH BC ne.."
2,RT @hemantrajora_: बड़ी खबर : Hindu Rao के डॉक्टर हड़ताल पर जाने की तैयारी में। HRH आज से कोविड अस्पताल के रूप में शुरू हो रहा है।  डॉक्टर…
3,RT @mungale_vijay: @nsitharaman @DasShaktikanta  क्यों आपकी अंतरात्मा आपको नहीं  झंझोड़ती?#PMCBankCrisis ने जिंदगी तबाह कर दी हमारी।@republ…
4,"RT @Madhurendra13: आपदा मे जुगाड़ को अस्पताल कहने वाले @AamAadmiParty के स्वास्थ्य मंत्री प्राइवेट हॉस्पिटल में इलाज कराके लौटें है। 
बाबा…"
5,"RT @JahirCBagwan1: @srinivasiyc @LambaAlka
अब समझ मे नहीं आ रहा है, की 

#Lockdown4 का पालन करके घरमे बैठकर अपनी जान बचानी है? या 
#COVID…"
6,"#COVID-19 से पीड़ित गर्भवती महिलाओं को अस्पताल, आईसीयू में भर्ती होने और वेंटिलेशन का जोखिम ज्यादा है
https://t.co/7IqlPTKn6D"
7,"RT @Amitjanhit: उत्तर प्रदेश,
गुजरात
मध्य प्रदेश जैसे बीजेपी शासित राज्यों में बीजेपी #corona से लड़ने में पूरी तरह विफल रही और अब 

@Arvin…"
8,"कार्टून:- तेल की कीमतें अब नहीं थमेंगी

#petrol #diesel #corona #covid #price #kajal #cartoon #politics https://t.co/EaRWozFyML"
9,"RT @PeepingMoon: तीन महीने बाद #KasautiiZindagiiKay2 की शूटिंग हुई री-स्टार्ट,  #Corona के साये के बीच #ParthSamthaan ने की सेट पर वापसी

@…"
10,#Delhi: केंद्रीय गृह मंत्री अमित शाह और दिल्ली के मुख्यमंत्री अरविंद केजरीवाल आज दिल्ली के छतरपुर क्षेत्र में राधा स्वामी ब्यास में #COVID केयर सेंटर का जायज़ा लेने जाएंगे। https://t.co/CCmCrRb0MV
11,RT @Bipin_Bi_Singh: आज अपने क्षेत्र महामारी कोरोना #COVID 19 से बचाव हेतु  लोगो के बीच मास्क तथा रोग प्रतिरोधक क्षमता बढ़ाने वाला काढ़ा वित…
12,"RT @CMOfficeUP: #COVID-19 जैसी वैश्विक महामारी के बावजूद समय पर परीक्षा व लॉकडाउन के बावजूद समय से परिणाम देने के लिए, मैं माध्यमिक शिक्षा…"
13,"RT @KunnalMaanav: देश के नागरिकों को #Covid-19 से बचाने वाले सफ़ाई सैनिकों को मुफ्त स्वास्थ्य सुविधाएं उपलब्ध होनी चाहिए
#अस्थाई_सफाई_कर्मी…"
14,"देश के नागरिकों को #Covid-19 से बचाने वाले सफ़ाई सैनिकों को मुफ्त स्वास्थ्य सुविधाएं उपलब्ध होनी चाहिए
#अस्थाई_सफाई_कर्मी_स्थाई_हो https://t.co/PkqmYyKGGb"
15,"RT @PeepingMoon: तीन महीने बाद #KasautiiZindagiiKay2 की शूटिंग हुई री-स्टार्ट,  #Corona के साये के बीच #ParthSamthaan ने की सेट पर वापसी

@…"
16,RT @AHindinews: केंद्रीय गृह मंत्री अमित शाह और दिल्ली के मुख्यमंत्री अरविंद केजरीवाल आज दिल्ली के छतरपुर क्षेत्र में राधा स्वामी ब्यास में…
17,"RT @Amitjanhit: उत्तर प्रदेश,
गुजरात
मध्य प्रदेश जैसे बीजेपी शासित राज्यों में बीजेपी #corona से लड़ने में पूरी तरह विफल रही और अब 

@Arvin…"
18,"RT @PeepingMoon: तीन महीने बाद #KasautiiZindagiiKay2 की शूटिंग हुई री-स्टार्ट,  #Corona के साये के बीच #ParthSamthaan ने की सेट पर वापसी

@…"
19,"RT @PeepingMoon: तीन महीने बाद #KasautiiZindagiiKay2 की शूटिंग हुई री-स्टार्ट,  #Corona के साये के बीच #ParthSamthaan ने की सेट पर वापसी

@…"
20,"RT @CMOfficeUP: #COVID-19 जैसी वैश्विक महामारी के बावजूद समय पर परीक्षा व लॉकडाउन के बावजूद समय से परिणाम देने के लिए, मैं माध्यमिक शिक्षा…"
21,"RT @Amitjanhit: उत्तर प्रदेश,
गुजरात
मध्य प्रदेश जैसे बीजेपी शासित राज्यों में बीजेपी #corona से लड़ने में पूरी तरह विफल रही और अब 

@Arvin…"
22,"Coronavirus vaccine news: WHO के प्रमुख ने कहा, एक साल के भीतर दुनिया को मिल जाएगी कोरोनावायरस की वैक्सीन 
 #Coronavirus #COVID-19 #Vaccines 
 https://t.co/Ju3b1TsmpN"
23,"RT @CMOfficeUP: #COVID-19 जैसी वैश्विक महामारी के बावजूद समय पर परीक्षा व लॉकडाउन के बावजूद समय से परिणाम देने के लिए, मैं माध्यमिक शिक्षा…"
24,"RT @NishantGulati18: भारतीय खाद निगम नरेला ( दिल्ली )| मैं नहीं हो रहा है सोशल डिस्टेंसिंग का पालन|
@AshwaniKumarAdv @CMODelhi 
@ImranHussa…"
25,RT @AHindinews: केंद्रीय गृह मंत्री अमित शाह और दिल्ली के मुख्यमंत्री अरविंद केजरीवाल आज दिल्ली के छतरपुर क्षेत्र में राधा स्वामी ब्यास में…
26,RT @hemantrajora_: बड़ी खबर : Hindu Rao के डॉक्टर हड़ताल पर जाने की तैयारी में। HRH आज से कोविड अस्पताल के रूप में शुरू हो रहा है।  डॉक्टर…
27,RT @hemantrajora_: बड़ी खबर : Hindu Rao के डॉक्टर हड़ताल पर जाने की तैयारी में। HRH आज से कोविड अस्पताल के रूप में शुरू हो रहा है।  डॉक्टर…
28,RT @IPNews_24: केंद्रीय गृह मंत्री अमित शाह और दिल्ली के मुख्यमंत्री अरविंद केजरीवाल आज दिल्ली के छतरपुर क्षेत्र में राधा स्वामी ब्यास में…
29,"केंद्रीय गृह मंत्री अमित शाह और दिल्ली के मुख्यमंत्री अरविंद केजरीवाल आज दिल्ली के छतरपुर क्षेत्र में राधा स्वामी ब्यास में #COVID केयर सेंटर का जायज़ा लेने जाएंगे।
@AmitShah 
@ArvindKejriwal"
30,"केंद्रीय गृह मंत्री अमित शाह और दिल्ली के मुख्यमंत्री अरविंद केजरीवाल आज दिल्ली के छतरपुर क्षेत्र में राधा स्वामी ब्यास में #COVID केयर सेंटर का जायज़ा लेने जाएंगे। 
@ArvindKejriwal  #Corona #coronacarecentre"
31,RT @hemantrajora_: बड़ी खबर : Hindu Rao के डॉक्टर हड़ताल पर जाने की तैयारी में। HRH आज से कोविड अस्पताल के रूप में शुरू हो रहा है।  डॉक्टर…
32,"आपदा मे जुगाड़ को अस्पताल कहने वाले @AamAadmiParty के स्वास्थ्य मंत्री प्राइवेट हॉस्पिटल में इलाज कराके लौटें है। 
बाबा के आश्रम में बेड लगा देने से हॉस्पिटल नही बन जाता!
जो बने है उनकी हालत इतनी खस्ता है कि आप के मंत्री राजीव गांधी के बदले मैक्स हॉस्पिटल में दाखिल हुये।
#COVID https://t.co/GWmp6YSorf"
33,"RT @dcmvd20: आप सरकारी विभाग में तो RTI लगा कर पूंछ ही लोगे, पर क्या जब कभी Private कम्पनी ऐसे काम करती है पता लगवा सकते हो? नहीं तो फिर #s…"
34,"कार्टून:- तेल की कीमतें अब नहीं थमेंगी

#petrol #diesel #corona #covid #price #kajal #cartoon #politics https://t.co/UzaVJK6eGt"
35,"RT @PeepingMoon: तीन महीने बाद #KasautiiZindagiiKay2 की शूटिंग हुई री-स्टार्ट,  #Corona के साये के बीच #ParthSamthaan ने की सेट पर वापसी

@…"
36,"RT @GhanendraB: CM @ArvindKejriwal जी ने कहा #COVID के खिलाफ युद्ध में दिल्ली सरकार के यह है 5 हथियार :
✅ अस्पतालों में बेड की संख्या बढ़ाई…"
37,"RT @dcmvd20: आप सरकारी विभाग में तो RTI लगा कर पूंछ ही लोगे, पर क्या जब कभी Private कम्पनी ऐसे काम करती है पता लगवा सकते हो? नहीं तो फिर #s…"
38,"RT @Amitjanhit: उत्तर प्रदेश,
गुजरात
मध्य प्रदेश जैसे बीजेपी शासित राज्यों में बीजेपी #corona से लड़ने में पूरी तरह विफल रही और अब 

@Arvin…"
39,RT @AHindinews: केंद्रीय गृह मंत्री अमित शाह और दिल्ली के मुख्यमंत्री अरविंद केजरीवाल आज दिल्ली के छतरपुर क्षेत्र में राधा स्वामी ब्यास में…
