,tweet_id,text,Has_Verifiable_Claim
0,1241025578527903750,For the average American the best way to tell if you have covid-19 is to cough in a rich person’s face and wait for their test results,no
1,1240467080954228737,this is fucking bullshit,no
2,1240716889162018816,Can y’all please just follow the government’s instructions so we can knock this COVID-19 out and be done?! I feel like a kindergartner that keeps losing more recess time because one or two kids can’t follow directions.,no
3,1241062514886090754,No offense but the corona virus disappearing before April actually sucks,no
4,1241447017945223169,"This is the face of someone who just spent 9 hours in personal protective equipment moving critically ill Covid19 patients around London.  I feel broken - and we are only at the start. I am begging people, please please do social distancing and self isolation #covid19 https://t.co/hs0RQdvsn3",yes
5,1241637320325029889,"Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employed with 4 kids. I don't need Boris to tell me what is morally correct. Landlords, if you can, do more, do something. #COVID19 #BeNice",yes
6,1241519420628963330,"After COVID-19 is over, I better NEVER hear anyone trash “low end” workers again. Those people at the grocery store, the Dollar General workers, those fast food workers, the Walmart employees, those people you didn't even think deserved to have a wage to survive on?",no
7,1242137430322446344,This is Dr. Usama Riaz. He spent past weeks screening and treating patients with Corona Virus in Pakistan.   He knew there was no PPE. He persisted anyways.  Today he lost his own battle with coronavirus but he gave life and hope to so many more.   KNOW HIS NAME 😭❤ https://t.co/flSwhLCPmx,yes
8,1240717039377022977,fun fact: its tradition for europeans to spread a potentially fatal disease to every other country not fully inhabited by white people &amp; not take accountability for the subsequent devastation &amp; lives lost,yes
9,1240334979701395458,When this Corona shit passes we have to promise each other that we’re going to tell our kids that we survived a zombie apocalypse in 2020,no
10,1241161304771039233,So shortness of breath is a corona symptom right but you know what also gives me shortness of breath? Anxiety. And you know what has been giving me anxiety? Thinking I have corona.,no
11,1240676575168921600,"So, the last week I have been battling COVID-19 &amp; Pneumonia. Never in my life have I been this ill. “Young people aren’t at risk, they’ll only have mild symptoms” Wrong.   I want to open up about the difficulties I’ve gone through these past days, what it was like in the ICU...",yes
12,1242125087886761987,My mum has a PhD on Corona Virus from WhatsApp University,yes
13,1240768501452697600,He told wealthy friends. Then cashed out a cool $1.4m in stock. Then voted AGAINST the covid-19 relief bill. He needs to go,yes
14,1241447267502116864,future grandson: “hey grandpa want a corona?”  me: https://t.co/ZJbdz22Lps,no
15,1241337295606657033,Korea finished developing the 10 minute Covid-19 diagnostic kit and is now ramping up production. They plan to export 300.000 test-kits per week - https://t.co/DpJCph9RT7,yes
16,1241429041011478529,"tw suicide, COVID-19  Hey, so, um, there's a big elephant in the room right now. COVID isn't the only epidemic happening right now - and it's come at a bad, bad time. Not that there's ever a good time.  There's a mental health epidemic happening, and we're gonna start seeing-",yes
17,1242414259407130624,Celebrities keep trying to sing the virus away like this is a Disney movie or something,no
18,1241973404992802818,maybe if i develop feelings for covid-19 it will leave,no
19,1241057919128526856,"THREAD: I mostly talk about movies on here, but here goes. We are currently pivoting our factory to solely make surgical masks and other medical garments in short supply. We can make 2 million masks a day, and are looking to help in any way possible during this time. #COVID19 https://t.co/dOX7N3e1GJ",yes
20,1240633773965918210,My mans House would pop 6 Vicodin on Thursday and have that cure by Saturday morning.,no
21,1241254183979765761,"I did almost everything right. Worked at home. Saw one friend in the last 10 days. Had a beer for an hour outside a pub, either side of a big table. Fresh air, no contact. Washed my hands 3 times.   Still caught corona from him.   Do not fuck around with this thing.",yes
22,1241465915486670848,I do not understand how mcdonalds can serve two billion hamburgers every year but when I order five million at the drive thru it overwhelms the system,no
23,1241009089091600392,Bro China is out here reading niggas power levels and we cant even get adequate testing 🧐,no
24,1241466219791822849,When this corona shit is over please invite me out. I know I be flaky sometimes but my ass is going to come outside I promise lol,no
25,1241871812591419392,"Y’all miss your ex, I miss life without the corona virus",no
26,1241696164782669824,"“I stopped him and said, 'Look, this isn't a movie. You are not Will Smith in I Am Legend. Go home.” This is the updated compilation of Italian Mayors losing it at people violating #Covid19 quarantine. Yes, subtitles are accurate. https://t.co/60V4Csuonb",no
27,1241287878354677760,"Please don't take hydroxychloroquine (Plaquenil) plus Azithromycin for #COVID19 UNLESS your doctor prescribes it. Both drugs affect the QT interval of your heart and can lead to arrhythmias and sudden death, especially if you are taking other meds or have a heart condition.",yes
28,1240335912329977858,Day 5: We have rediscovered farming,no
29,1241902001539203073,This Corona virus will pass by mid April !! Speaking it into existence,yes
30,1242302400762908685,Thank you everyone for your incredible messages of support and encouragement.♥️  Many of you asked what it was like in the ER right now. I want to share a bit with you. Please RT:  A Day in the Life of an ER Doc - A Brief Dispatch from the #COVID19 Frontline:,no
31,1242476408896507910,"My fellow citizens,   THERE IS ABSOLUTELY NO NEED TO PANIC.  Essential commodities, medicines etc. would be available. Centre and various state governments will work in close coordination to ensure this.  Together, we will fight COVID-19 and create a healthier India.   Jai Hind!",yes
32,1240781688818589697,Dogs when they found out their owners can’t leave because of the corona virus https://t.co/ciwmNz0q36,no
33,1241528549183385601,no.. one...  cleans like Gaston quarantines like Gaston no one stops spreading COVID-19 like Gaston,yes
34,1241247329572683776,"This is why the beaches haven't closed in Florida, and why they've had minimal COVID-19 prevention. Absolute dysfunction. https://t.co/8x2tcQeg21",yes
