,text,labels
0,"औसत अमेरिकी के लिए यह बताने का सबसे अच्छा तरीका है कि क्या आपके पास कोविद -19 है, किसी अमीर व्यक्ति के चेहरे पर खांसना है और उनके प्रबंधित परिणामों की प्रतीक्षा करना है",0
1,यह बकवास है,0
2,क्या आप कृपया सरकार के निर्देशों का पालन कर सकते हैं ताकि हम इस covid-19 को बाहर निकाल सकें और काम किया जा सके। मैं एक किंडरगार्टनर की तरह महसूस करता हूं जो अधिक अवकाश का समय गंवाता रहता है क्योंकि एक या दो बच्चे निर्देशों का पालन नहीं कर सकते हैं।,0
3,कोई अपराध नहीं है लेकिन अप्रैल से पहले गायब होने वाले कोरोना वायरस वास्तव में बेकार है,0
4,"यह किसी ऐसे व्यक्ति का चेहरा है जिसने लंदन के आसपास गंभीर रूप से बीमार covid19 रोगियों को स्थानांतरित करने में व्यक्तिगत सुरक्षा उपकरणों में सिर्फ 9 घंटे बिताए। मैं टूटा हुआ महसूस करता हूं - और हम केवल शुरुआत में हैं। मैं लोगों से भीख माँग रहा हूँ, कृपया सामाजिक भेद और आत्म अलगाव करें  covid19 URL",1
5,"कल मैंने अपने टेनेंट के दरवाजे पर दस्तक दी और उससे कहा कि वह 5 महीने के लिए मुफ्त में संपत्ति के किराए पर रह सकता है। वह 4 बच्चों के साथ स्वयं कार्यरत है। मुझे जरूरत नहीं है boris मुझे यह बताने के लिए कि नैतिक रूप से सही क्या है। जमींदार, यदि आप कर सकते हैं, तो अधिक करें, कुछ करें।  covid19 benice",1
6,"covid-19 के खत्म होने के बाद, मुझे बेहतर है कि कोई भी ""कम अंत"" श्रमिकों को फिर से कचरा सुनें। किराने की दुकान पर वे लोग, डॉलर के जनरल वर्कर, उन फास्ट फूड वर्करों, वॉलमार्ट के कर्मचारियों, उन लोगों को जिनके बारे में आपने सोचा भी नहीं था कि वे जीवित रहने के लिए मजदूरी करने लायक हैं?",0
7,"यह डॉ। उसामा रियाज हैं। उन्होंने पाकिस्तान में कोरोना वायरस से पीड़ित मरीजों के इलाज और जांच में पिछले सप्ताह बिताए। उसे पता था कि कोई पीपीई नहीं है। वह वैसे भी कायम रहे। आज उन्होंने कोरोनोवायरस के साथ अपनी खुद की लड़ाई खो दी, लेकिन उन्होंने इतने सारे लोगों को जीवन और आशा दी। पता है कि इसका नाम .co URL है",1
9,जब यह कोरोना शिट पास होता है तो हमें एक-दूसरे से वादा करना पड़ता है कि हम अपने बच्चों को बताने जा रहे हैं कि हम 2020 में एक ज़ोंबी सर्वनाश से बच गए थे,0
10,"इसलिए सांस की तकलीफ एक कोरोना लक्षण है, लेकिन आप जानते हैं कि मुझे सांस की तकलीफ भी है? चिंता। और तुम जानते हो कि मुझे क्या चिंता दी गई है? यह सोचकर कि मेरे पास कोरोना है।",0
