,tweet_id,text,Has_Verifiable_Claim
0,1265499005762646022,"ভারতে করোনা আক্রান্তের সংখ্যা দেড় লাখ ছাড়িয়ে গেল। গত ২৪ ঘণ্টায় নতুন করে আক্রান্ত হয়েছেন ৬৩৮৭ জন। কেন্দ্রীয় স্বাস্থ্যমন্ত্রকের বুলেটিন অনুযায়ী, ২৭ মে, বুধবার, সকাল ৮টা পর্যন্ত দেশে করোনা আক্রান্তের সংখ্যা ১,৫১,৭৬৭।
@MoHFW_INDIA #COVID19India #COVID__19 pic.twitter.com/hftwkb7uDP",Yes
1,1265496913748647937,"@KolkataPolice -এ করোনা আক্রান্তের সংখ্যা ছাড়াল ৬৮। তার মধ্যে সুস্থ হয়েছেন ২৯ জন...
#COVID19 #CoronavirusKolkata #CoronaPositive #CautionYesPanicNo #RealNews #EiSamay https://eisamay.indiatimes.com/west-bengal-news/others/coronavirus-cases-disease-deaths-in-west-bengal-kolkata-howrah-hooghly-live-updates/articleshow/76022481.cms …",Yes
2,1265494825706586113,"করোনার জন্য দু'মাসের ওপর লকডাউন। সাথে আমফানের প্রকোপ। কলকাতায় পড়তে আসা প্রান্তিক ছাত্রছাত্রীদের অবস্থার খোঁজ নিয়েছেন? 
লকডাউনের একমাস পর পরীক্ষা নেওয়া চলবেনা৷ প্রত্যেকের স্বাস্থ্য সুরক্ষার ব্যবস্থা করতে হবে। 
#CalcuttaUniversirty
#againstexam
#COVID__19
@MamataOfficial",Yes
3,1265494731150278656,"গর্ভবতী হওয়ার সত্বেও,
#করোনা(Covid 19) মহামারীর কারণে এই
#মহিলা ডাক্তার নিজের Duty করে যাচ্ছেন।।
হৃদয় থেকে তার দেশপ্রেম কে সালাম🇮🇳🇮🇳 pic.twitter.com/TwkLdrolf8",Yes
4,1265493658880671745,বিমান-যাত্রীদের কোন রাজ্যে কত দিন কোয়ারেন্টাইনে থাকতে হবে ? জেনে নিন | coronavirus-latest-news  https://newsparho.in/2020/05/27/%e0%a6%ac%e0%a6%bf%e0%a6%ae%e0%a6%be%e0%a6%a8-%e0%a6%af%e0%a6%be%e0%a6%a4%e0%a7%8d%e0%a6%b0%e0%a7%80%e0%a6%a6%e0%a7%87%e0%a6%b0-%e0%a6%95%e0%a7%8b%e0%a6%a8-%e0%a6%b0%e0%a6%be%e0%a6%9c%e0%a7%8d/ …,Yes
5,1265492720166068224,"গত ২৪ ঘন্টায় দেশে করোনা আক্রান্তের সংখ্যা বেড়েছে ৬৩৮৭। মৃত্যু হয়েছে ১৭০ জনের...
#COVID19Pandemic #COVID__19 #CoronavirusIndia #CoronaUpdatesInIndia #CautionYesPanicNo #EiSamay https://eisamay.indiatimes.com/nation/coronavirus-pandemic-death-cases-latest-news-in-india-live-updates/articleshow/76022818.cms …",Yes
6,1265491930307342341,"Covid-19 আক্রান্ত অন্যান্য দেশের তুলনায় ভারতের সুস্থতার হার এখনো পর্যন্ত সর্বোচ্চ

১২৫,০০০+ ক্ষেত্রে সুস্থতার হার
@NisithPramanik @narendramodi @JPNadda @AmitShah @DilipGhoshBJP @samit_dash @KhanSaumitra @basusayan @subratowb @SuPriyoBabul @me_locket @BJP4Bengal @BJPMM4Bengal pic.twitter.com/lZ4L1vRRbg",Yes
7,1265491093585563648,মা এই COVID-19 থেকে সবাইকে রক্ষা করো...🙏🙏🙏  pic.twitter.com/3AqNtQaOaq,No
8,1265483898030620672,"শপিংয়ে গিয়ে করোনা আক্রান্ত গোলরক্ষক রামসডেলে
#ইত্তেফাক #ittefaq #করোনা #covid19 #coronavirus
 https://www.ittefaq.com.bd/sports/153979/%E0%A6%B6%E0%A6%AA%E0%A6%BF%E0%A6%82%E0%A7%9F%E0%A7%87-%E0%A6%97%E0%A6%BF%E0%A7%9F%E0%A7%87-%E0%A6%95%E0%A6%B0%E0%A7%8B%E0%A6%A8%E0%A6%BE-%E0%A6%86%E0%A6%95%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A4-%E0%A6%97%E0%A7%8B%E0%A6%B2%E0%A6%B0%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%95-%E0%A6%B0%E0%A6%BE%E0%A6%AE%E0%A6%B8%E0%A6%A1%E0%A7%87%E0%A6%B2%E0%A7%87#.Xs3bIddddEs.twitter …",Yes
9,1265481244038492160,"@Andal এ কোনো Corona Positive লোক নেই, অজথা গুজব রটাবেন না। 🤗",No
10,1265480654654828544,"ফ্রান্সে একদিন নার্সারি ও প্রাইমারি স্কুল খলাতেই ৭০ জন corona আক্রান্ত হয়েছে ,এই দূঃসংবাদ শোনার পরেও যে কী করে HS exam সম্ভাব্য দিন গুলি বাতিল করা হচ্ছে না টা সত্যি। এবুঝতে পারছি না। সেখানে শুধু ছাত্র নয় সাথে guardian ও শিক্ষক দের ও সুরক্ষা নেই।।",Yes
11,1265476669034332160," http://www.newshut.co.in/indian-football-team-midfielder-indumathi-kathiresan-fighting-against-corona-on-the-streets/ …
খাকি উর্দিতে করোনা মোকাবিলায় রাস্তায় নামলেন ফুটবলার ইন্দুমতী
#indianfootballteam #midfielder #indumathikathiresan #coronavirus",Yes
12,1265456582470455297,"CORONA LOCKDOWN 4 LIVE UPDATES: হটস্পট মহারাষ্ট্র থেকে হাজার হাজার পরিযায়ী শ্রমিক ফিরছে বাংলায়, উদ্বিগ্ন রাজ্য
 https://bengali.abplive.com/news/coronavirus-live-updates-bengal-covid-19-corona-cases-latest-news-lockdown-4-live-updates-690635 …
#COVID #Covid_19 #MigrantLabourers #migrants pic.twitter.com/kMtRrxVfR0",Yes
13,1265434765584465920,"#IFHTranslates #NJCovidInfoBangla

আমাদের হাসপাতালগুলিতে করোনা #COVID19 আক্রান্ত হয়ে চিকিত্সাধীন রোগীর সংখ্যা ২,৭২৩। এই সংখ্যা গত দুসপ্তাহে কমেছে প্রায় ১,৫০০।
ফিল্ড মেডিকাল সেন্টারগুলিতে রোগীর সংখ্যা ৪৫।  https://twitter.com/GovMurphy/status/1265300024809992193 …",Yes
14,1265433549966098432,"এই মহামাৰী COVID-19 ৰ সান্নিধ্যত যি কিছু পৰিমাণে সময়ৰ সুযোগ সুবিধা লাভ কৰিছিলো, তাৰ পৰিপ্ৰেক্ষিতত দুটিমান কবিতা সৃষ্টি হল। তাৰে মাত্ৰ নমুনা।  pic.twitter.com/c4ndfSMd81",Yes
15,1265407066396655628,"#IFHTranslates #NJCovidInfoBangla

আরও ৭০৩ জন #COVID19 পরীক্ষার পর সনাক্ত হয়েছেন এবং রাজ্যব্যাপী সংখ্যা দাঁড়াল ১৫৫,৭৬৪।
যেহেতু গত সপ্তাহান্তে দীর্ঘ ছুটি ছিল, সংখ্যাগুলি কমে আসতে আরও কয়েকদিন সময় লাগবে। 
২১সে মে থেকে, দৈনিক সনাক্তের হার ৫ শতাংশ।  https://twitter.com/GovMurphy/status/1265299513998278656 …",Yes
